trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
G5624,07:01:00,07:01:00,WEK_pf,1,1
G5624,07:19:00,07:19:00,SZB_pf,2,1
G5820,07:07:00,07:07:00,WEK_pf,1,1
G5820,07:21:00,07:21:00,FUT_pf78,2,1
G5636,07:30:00,07:30:00,WEK_pf,1,1
G5636,07:44:00,07:50:00,FUT_pf78,2,1
G5636,07:58:00,07:58:00,SZB_pf,3,1
G5822,08:12:00,08:12:00,WEK_pf,1,1
G5822,08:26:00,08:26:00,FUT_pf78,2,1
G5626,08:17:00,08:17:00,WEK_pf,1,1
G5626,08:35:00,08:35:00,SZB_pf,2,1
G6582,08:22:00,08:22:00,WEK_pf,1,1
G6582,08:40:00,08:43:00,SZB_pf,2,1
G6582,09:04:00,09:08:00,QIS_pf1,3,1
G6582,09:21:00,09:21:00,GZN_pf,4,1
G5638,08:59:00,08:59:00,WEK_pf,1,1
G5638,09:17:00,09:17:00,SZB_pf,2,1
G5812,09:23:00,09:23:00,WEK_pf,1,1
G5812,09:37:00,09:37:00,FUT_pf78,2,1
G5628,09:35:00,09:35:00,WEK_pf,1,1
G5628,09:53:00,09:53:00,SZB_pf,2,1
G5640,10:14:00,10:14:00,WEK_pf,1,1
G5640,10:32:00,10:32:00,SZB_pf,2,1
G5816,10:25:00,10:25:00,WEK_pf,1,1
G5816,10:39:00,10:39:00,FUT_pf78,2,1
G5630,10:46:00,10:46:00,WEK_pf,1,1
G5630,11:00:00,11:02:00,FUT_pf78,2,1
G5630,11:10:00,11:10:00,SZB_pf,3,1
G6584,10:59:00,10:59:00,WEK_pf,1,1
G6584,11:14:00,11:16:00,FUT_pf78,2,1
G6584,11:24:00,11:30:00,SZB_pf,3,1
G6584,12:00:00,12:00:00,GZN_pf,4,1
G5818,11:26:00,11:26:00,WEK_pf,1,1
G5818,11:40:00,11:40:00,FUT_pf78,2,1
G5642,11:32:00,11:32:00,WEK_pf,1,1
G5642,11:50:00,11:50:00,SZB_pf,2,1
G5632,12:15:00,12:15:00,WEK_pf,1,1
G5632,12:34:00,12:34:00,SZB_pf,2,1
G5858,12:27:00,12:27:00,WEK_pf,1,1
