table_name,field_name,language,translation,record_id
agency,agency_name,zh-CN,高速铁路,highspeed
agency,agency_fare_url,zh-CN,https://www.highspeed.mtr.com.hk/sc/main/buy-ticket.html,highspeed
stops,stop_name,zh-CN,香港西九龙,WEK
stops,stop_name,zh-CN,香港西九龙,WEK_pf
stops,stop_name,zh-CN,福田,FUT
stops,stop_name,zh-CN,福田,FUT_pf56
stops,stop_name,zh-CN,福田,FUT_pf78
stops,stop_name,zh-CN,深圳北,SZB
stops,stop_name,zh-CN,深圳北,SZB_pf
stops,stop_name,zh-CN,光明城,GMC
stops,stop_name,zh-CN,光明城,GMC_pf1
stops,stop_name,zh-CN,光明城,GMC_pf2
stops,stop_name,zh-CN,虎门,HUM
stops,stop_name,zh-CN,虎门,HUM_pf12
stops,stop_name,zh-CN,虎门,HUM_pf34
stops,stop_name,zh-CN,南沙北,QIS
stops,stop_name,zh-CN,南沙北,QIS_pf1
stops,stop_name,zh-CN,南沙北,QIS_pf2
stops,stop_name,zh-CN,广州南,GZN
stops,stop_name,zh-CN,广州南,GZN_pf
routes,route_short_name,zh-CN,高速铁路,XRL
routes,route_long_name,zh-CN,广深港高速铁路,XRL
attributions,organization_name,zh-CN,香港铁路有限公司,MTR
trips,trip_headsign,zh-CN,深圳北,G5624
trips,trip_headsign,zh-CN,福田,G5820
trips,trip_headsign,zh-CN,深圳北,G5636
trips,trip_headsign,zh-CN,福田,G5822
trips,trip_headsign,zh-CN,深圳北,G5626
trips,trip_headsign,zh-CN,广州南,G6582
trips,trip_headsign,zh-CN,深圳北,G5638
trips,trip_headsign,zh-CN,福田,G5812
trips,trip_headsign,zh-CN,深圳北,G5628
trips,trip_headsign,zh-CN,深圳北,G5640
trips,trip_headsign,zh-CN,福田,G5816
trips,trip_headsign,zh-CN,深圳北,G5630
trips,trip_headsign,zh-CN,广州南,G6584
trips,trip_headsign,zh-CN,福田,G5818
trips,trip_headsign,zh-CN,深圳北,G5642
trips,trip_headsign,zh-CN,深圳北,G5632
trips,trip_headsign,zh-CN,福田,G5858
trips,trip_headsign,zh-CN,深圳北,G5644
trips,trip_headsign,zh-CN,福田,G5808
trips,trip_headsign,zh-CN,深圳北,G5620
trips,trip_headsign,zh-CN,深圳北,G5646
trips,trip_headsign,zh-CN,福田,G5810
trips,trip_headsign,zh-CN,福田,G5860
trips,trip_headsign,zh-CN,深圳北,G5622
trips,trip_headsign,zh-CN,福田,G5806
trips,trip_headsign,zh-CN,深圳北,G5634
trips,trip_headsign,zh-CN,福田,G5828
trips,trip_headsign,zh-CN,广州南,G6586
trips,trip_headsign,zh-CN,深圳北,G5648
trips,trip_headsign,zh-CN,福田,G5814
trips,trip_headsign,zh-CN,福田,G5830
trips,trip_headsign,zh-CN,深圳北,G5650
trips,trip_headsign,zh-CN,福田,G5862
trips,trip_headsign,zh-CN,福田,G5832
trips,trip_headsign,zh-CN,深圳北,G5652
trips,trip_headsign,zh-CN,广州南,G6588
trips,trip_headsign,zh-CN,福田,G5824
trips,trip_headsign,zh-CN,深圳北,G5654
trips,trip_headsign,zh-CN,福田,G5826
trips,trip_headsign,zh-CN,深圳北,G5680
trips,trip_headsign,zh-CN,福田,G5866
trips,trip_headsign,zh-CN,香港西九龙,G5819
trips,trip_headsign,zh-CN,香港西九龙,G5625
trips,trip_headsign,zh-CN,香港西九龙,G5637
trips,trip_headsign,zh-CN,香港西九龙,G5821
trips,trip_headsign,zh-CN,香港西九龙,G5627
trips,trip_headsign,zh-CN,香港西九龙,G5639
trips,trip_headsign,zh-CN,香港西九龙,G5811
trips,trip_headsign,zh-CN,香港西九龙,G5629
trips,trip_headsign,zh-CN,香港西九龙,G6581
trips,trip_headsign,zh-CN,香港西九龙,G5815
trips,trip_headsign,zh-CN,香港西九龙,G5641
trips,trip_headsign,zh-CN,香港西九龙,G5631
trips,trip_headsign,zh-CN,香港西九龙,G5817
trips,trip_headsign,zh-CN,香港西九龙,G5643
trips,trip_headsign,zh-CN,香港西九龙,G5633
trips,trip_headsign,zh-CN,香港西九龙,G5857
trips,trip_headsign,zh-CN,香港西九龙,G6583
trips,trip_headsign,zh-CN,香港西九龙,G5645
trips,trip_headsign,zh-CN,香港西九龙,G5807
trips,trip_headsign,zh-CN,香港西九龙,G5621
trips,trip_headsign,zh-CN,香港西九龙,G5647
trips,trip_headsign,zh-CN,香港西九龙,G5809
trips,trip_headsign,zh-CN,香港西九龙,G5859
trips,trip_headsign,zh-CN,香港西九龙,G5623
trips,trip_headsign,zh-CN,香港西九龙,G5805
trips,trip_headsign,zh-CN,香港西九龙,G5635
