route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,cars_allowed
XRL,normal,G5624,深圳北,G5624,0,WEK2SZB,1,2
XRL,normal,G5820,福田,G5820,0,WEK2FUT,1,2
XRL,normal,G5636,深圳北,G5636,0,WEK2SZB,1,2
XRL,normal,G5822,福田,G5822,0,WEK2FUT,1,2
XRL,normal,G5626,深圳北,G5626,0,WEK2SZB,1,2
XRL,normal,G6582,廣州南,G6582,0,WEK2GZN,1,2
XRL,normal,G5638,深圳北,G5638,0,WEK2SZB,1,2
XRL,normal,G5812,福田,G5812,0,WEK2FUT,1,2
XRL,normal,G5628,深圳北,G5628,0,WEK2SZB,1,2
XRL,normal,G5640,深圳北,G5640,0,WEK2SZB,1,2
XRL,normal,G5816,福田,G5816,0,WEK2FUT,1,2
XRL,normal,G5630,深圳北,G5630,0,WEK2SZB,1,2
XRL,normal,G6584,廣州南,G6584,0,WEK2GZN,1,2
XRL,normal,G5818,福田,G5818,0,WEK2FUT,1,2
XRL,normal,G5642,深圳北,G5642,0,WEK2SZB,1,2
XRL,normal,G5632,深圳北,G5632,0,WEK2SZB,1,2
XRL,normal,G5858,福田,G5858,0,WEK2FUT,1,2
XRL,normal,G5644,深圳北,G5644,0,WEK2SZB,1,2
XRL,normal,G5808,福田,G5808,0,WEK2FUT,1,2
XRL,normal,G5620,深圳北,G5620,0,WEK2SZB,1,2
XRL,normal,G5646,深圳北,G5646,0,WEK2SZB,1,2
XRL,normal,G5810,福田,G5810,0,WEK2FUT,1,2
XRL,normal,G5860,福田,G5860,0,WEK2FUT,1,2
XRL,normal,G5622,深圳北,G5622,0,WEK2SZB,1,2
XRL,normal,G5806,福田,G5806,0,WEK2FUT,1,2
XRL,normal,G5634,深圳北,G5634,0,WEK2SZB,1,2
XRL,normal,G5828,福田,G5828,0,WEK2FUT,1,2
XRL,normal,G6586,廣州南,G6586,0,WEK2GZN,1,2
XRL,normal,G5648,深圳北,G5648,0,WEK2SZB,1,2
XRL,normal,G5814,福田,G5814,0,WEK2FUT,1,2
XRL,normal,G5830,福田,G5830,0,WEK2FUT,1,2
XRL,normal,G5650,深圳北,G5650,0,WEK2SZB,1,2
XRL,normal,G5862,福田,G5862,0,WEK2FUT,1,2
XRL,normal,G5832,福田,G5832,0,WEK2FUT,1,2
XRL,normal,G5652,深圳北,G5652,0,WEK2SZB,1,2
XRL,normal,G6588,廣州南,G6588,0,WEK2GZN,1,2
XRL,normal,G5824,福田,G5824,0,WEK2FUT,1,2
XRL,normal,G5654,深圳北,G5654,0,WEK2SZB,1,2
XRL,normal,G5826,福田,G5826,0,WEK2FUT,1,2
XRL,saturday,G5680,深圳北,G5680,0,WEK2SZB,1,2
XRL,saturday,G5866,福田,G5866,0,WEK2FUT,1,2
XRL,normal,G5819,香港西九龍,G5819,1,FUT2WEK,1,2
XRL,normal,G5625,香港西九龍,G5625,1,SZB2WEK,1,2
XRL,normal,G5637,香港西九龍,G5637,1,SZB2WEK,1,2
XRL,normal,G5821,香港西九龍,G5821,1,FUT2WEK,1,2
XRL,normal,G5627,香港西九龍,G5627,1,SZB2WEK,1,2
XRL,normal,G5639,香港西九龍,G5639,1,SZB2WEK,1,2
XRL,normal,G5811,香港西九龍,G5811,1,FUT2WEK,1,2
XRL,normal,G5629,香港西九龍,G5629,1,SZB2WEK,1,2
XRL,normal,G6581,香港西九龍,G6581,1,GZN2WEK,1,2
XRL,normal,G5815,香港西九龍,G5815,1,FUT2WEK,1,2
XRL,normal,G5641,香港西九龍,G5641,1,SZB2WEK,1,2
XRL,normal,G5631,香港西九龍,G5631,1,SZB2WEK,1,2
XRL,normal,G5817,香港西九龍,G5817,1,FUT2WEK,1,2
XRL,normal,G5643,香港西九龍,G5643,1,SZB2WEK,1,2
XRL,normal,G5633,香港西九龍,G5633,1,SZB2WEK,1,2
XRL,normal,G5857,香港西九龍,G5857,1,FUT2WEK,1,2
XRL,normal,G6583,香港西九龍,G6583,1,GZN2WEK,1,2
XRL,normal,G5645,香港西九龍,G5645,1,SZB2WEK,1,2
XRL,normal,G5807,香港西九龍,G5807,1,FUT2WEK,1,2
XRL,normal,G5621,香港西九龍,G5621,1,SZB2WEK,1,2
XRL,normal,G5647,香港西九龍,G5647,1,SZB2WEK,1,2
XRL,normal,G5809,香港西九龍,G5809,1,FUT2WEK,1,2
XRL,normal,G5859,香港西九龍,G5859,1,FUT2WEK,1,2
XRL,normal,G5623,香港西九龍,G5623,1,SZB2WEK,1,2
XRL,normal,G5805,香港西九龍,G5805,1,FUT2WEK,1,2
XRL,normal,G5635,香港西九龍,G5635,1,SZB2WEK,1,2
XRL,normal,G5827,香港西九龍,G5827,1,FUT2WEK,1,2
XRL,normal,G5649,香港西九龍,G5649,1,SZB2WEK,1,2
XRL,normal,G5813,香港西九龍,G5813,1,FUT2WEK,1,2
XRL,normal,G5829,香港西九龍,G5829,1,FUT2WEK,1,2
XRL,normal,G6585,香港西九龍,G6585,1,GZN2WEK,1,2
XRL,normal,G5651,香港西九龍,G5651,1,SZB2WEK,1,2
XRL,normal,G5861,香港西九龍,G5861,1,FUT2WEK,1,2
XRL,normal,G5831,香港西九龍,G5831,1,FUT2WEK,1,2
XRL,normal,G5653,香港西九龍,G5653,1,SZB2WEK,1,2
XRL,normal,G5823,香港西九龍,G5823,1,FUT2WEK,1,2
XRL,normal,G5655,香港西九龍,G5655,1,SZB2WEK,1,2
XRL,normal,G5825,香港西九龍,G5825,1,FUT2WEK,1,2
XRL,normal,G6587,香港西九龍,G6587,1,GZN2WEK,1,2
XRL,saturday,G5689,香港西九龍,G5689,1,SZB2WEK,1,2
XRL,saturday,G5865,香港西九龍,G5865,1,FUT2WEK,1,2
